院校,专业名称,最低分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州轻工职业学院,数字媒体艺术设计,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州轻工职业学院,广告艺术设计,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三明医学科技职业学院,智能控制技术,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三明医学科技职业学院,电子商务,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三明医学科技职业学院,智能物流技术,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三明医学科技职业学院,数字媒体艺术设计,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三明医学科技职业学院,电子竞技运动与管理,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武夷山职业学院,物联网应用技术,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武夷山职业学院,计算机应用技术,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武夷山职业学院,软件技术,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武夷山职业学院,大数据技术,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武夷山职业学院,人工智能技术应用,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武夷山职业学院,电子商务,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武夷山职业学院,数字媒体艺术设计,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门安防科技职业学院,物联网应用技术,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门安防科技职业学院,软件技术,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门安防科技职业学院,信息安全技术应用,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门安防科技职业学院,动漫制作技术,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门安防科技职业学院,电子商务,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门城市职业学院,物联网应用技术,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门城市职业学院,云计算技术应用,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门东海职业技术学院,智能控制技术,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门东海职业技术学院,计算机网络技术,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门东海职业技术学院,软件技术,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门东海职业技术学院,电子商务,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门华天涉外职业技术学院,计算机应用技术,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门华天涉外职业技术学院,计算机网络技术,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门华天涉外职业技术学院,软件技术,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门华天涉外职业技术学院,动漫制作技术,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门华天涉外职业技术学院,智能互联网络技术,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,电子信息工程技术,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,智能产品开发与应用,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
